"Pesquisador_Responsável","Pesquisadores_Associados","Pesquisadores_Principais","Cidade","Instituições_no_Exterior","Área_do_Conhecimento","Data_de_Início","Data_de_Término"
"Valéria Moraes Longo","Elson Longo da Silva - Ieda Lucia Viana Rosa","","São Carlos","","Engenharia de Materiais e Metalúrgica","2/1/2018","7/31/2020"
"Moira Nunes","Luiz Felipe Arjonilla de Mattos","","São Paulo","","Microbiologia","2/1/2018","2/28/2019"
"Suikinai Nobre Santos","Leonardo José da Silva - Wallance Moreira Pazin","Diego Bonaldo Genuário","Jaguariúna","","Microbiologia","2/1/2018","2/28/2019"
"Taís Soares Macedo","Severino Matias de Alencar","Fabiana Regina Nonato","Campinas","","Medicina Veterinária","2/1/2018","12/31/2018"
"Maria Cristina Chiarinelli Nucci Mascarenhas","","","Campinas","","Ciência e Tecnologia de Alimentos","2/1/2018","1/31/2019"
"Rodrigo Ribeiro","Camila Joana Fernandes Nascimento - Jadel Müller Kratz","Alfredo de Almeida Vitali","São Paulo","","Ciência e Tecnologia de Alimentos","2/1/2018","12/31/2018"
"Rafael de Castro Figueroa","André Luiz de Amorim - William Schoenell","","São Paulo","","Ciência da Computação","2/1/2018","1/31/2020"
"Gizele Celante","Alcindo Aparecido dos Santos - Guilherme Lopes - Josimar Henrique de Lima Lessa - Luiz Roberto Guimarães Guilherme - Marcio Henrique Zaim - Maria Catarina Megumi Kasuya - Pedro Vitoriano de Oliveira","","São Paulo","","Química","2/1/2018","10/31/2018"
"Odilon Afonso Vieira Cenamo","José Oscar William Vega Bustillos - Lucia Vilela Leite Filgueiras - Moacyr Martucci Jr","João Andrade Grilo Neto","São Paulo","","Engenharia Elétrica","2/1/2018","11/30/2018"
"Sabrina Medeiros Suita","Plinio Schmidt Furtado","","Campinas","","Zootecnia","1/1/2018","11/30/2018"
"Roney Ferreira Marzullo","","","São José dos Campos","","Engenharia Elétrica","12/1/2017","2/29/2020"
"Ricardo Sis Moreira","","","Campinas","","Física","12/1/2017","11/30/2019"
"Cleber Rinaldo Manzoni","","","São Carlos","","Engenharia Agrícola","12/1/2017","8/31/2019"
"Esthevan Augusto Goes Gasparoto","Alberto Mitsuya Shinzato","Emily Tsiemi Shinzato","São José dos Campos","","Recursos Florestais e Engenharia Florestal","12/1/2017","5/31/2020"
"Juliana Kelly da Silva Maia","Marcio Lopes - Mário Roberto Maróstica Junior","","Campinas","","Nutrição","12/1/2017","8/31/2018"
"Fernando Garcia Nicodemos","","","São José dos Campos","","Engenharia Elétrica","12/1/2017","8/31/2018"
"Fatima Maria Mitsue Yasuoka","Guilherme Minoru Taniguti - José Matheus Sanches - Karin Talisin Targas - Luciana de Matos - Luis Gustavo Sabino","André Orlandi de Oliveira","São Carlos","","Engenharia Biomédica","12/1/2017","5/31/2020"
"SABRINA RIBEIRO DE ALMEIDA QUEIROZ","Niels Jørgen Olesen - Ricardo Luiz Moro de Sousa - Santiago Benites de Padua","","Pirassununga","","Medicina Veterinária","12/1/2017","10/31/2018"
"Wiliam Donisete de Paula","Idágene Aparecida Cestari - Marco Antonio Gutierrez","","Araçatuba","","Engenharia Biomédica","12/1/2017","3/31/2021"
"Daiana Laurenci Orth","Fernando Manuel Araújo Moreira - Patricia Driusso - Vanessa de Oliveira Sousa - Vilena Barros de Figueiredo","","Sorocaba","","Engenharia Biomédica","12/1/2017","9/30/2018"
"Matheus Manente Lopes Silva","","Rafael Cesario de Abreu","São Paulo","","Geociências","12/1/2017","8/31/2018"
"Morgana Regina Mendonça de Oliveira","","Hermes Pretel","Araraquara","","Odontologia","12/1/2017","10/31/2018"
"Fernando Paes Lopes","","","São Paulo","","Ciência da Computação","12/1/2017","11/30/2019"
"Glauco José Rizzanti Pereira","","","Campinas","","","12/1/2017","8/31/2018"
"Douglas Wilian de Toledo","Antonio Carlos Demanboro - David Bianchini","Raquel Corrêa Cordeiro","Itatiba","","Ciência da Computação","12/1/2017","10/31/2018"
"Luis Henrique Guilherme","Cecilio Sadao Fugivara - Marcelo Falcão de Oliveira","Assis Vicente Benedetti","Araraquara","","Engenharia de Materiais e Metalúrgica","12/1/2017","8/31/2018"
"Amaury Caruzzo","Antonio João Vialle Cordeiro - Clezio Marcos De Nardin - Joana Ramos Ribeiro Gomes - João Carlos Teixeira Soares Filho - Joaquim Eduardo Rezende Costa","","São José dos Campos","","Engenharia de Produção","12/1/2017","9/30/2018"
"Patrícia Milano","Paulo César Bogorni - Pedro Takao Yamamoto","","Limeira","","Agronomia","12/1/2017","8/31/2018"
"Claudio Vinicius Buonamici","","","São Paulo","","Ciência da Computação","12/1/2017","8/31/2019"
"Nadja Fernanda Gonzaga Serrano","Bruno da Silva Thomazini","","São Carlos","","","12/1/2017","8/31/2018"
"Jose Vitorio Emiliano","Fernando Antonio Bacchim Neto - Márcio Raymundo Morelli","","Campinas","","Engenharia de Materiais e Metalúrgica","12/1/2017","8/31/2018"
"Soraya El Khatib","Marcos Nogueira Eberlin - Mary Ann Foglio","","Campinas","","Farmácia","12/1/2017","1/31/2020"
"Osmar Vogler","Guilherme Pelosini Gaiarsa","","São José dos Campos","","Engenharia Biomédica","12/1/2017","4/30/2021"
"Joao Paulo Roschel Torres","","Ingvar Ludwig Augusto de Souza, Paulo Luiz Zangrande Vieira","São Paulo","","Engenharia Civil","12/1/2017","9/30/2018"
"Francisco Cleber Sousa Vieira","André Luiz Surdi Debastiani - Débora da Costa Simões - Heloisa Mara de Melo","André Souto Maior Pessôa","São Paulo","","Agronomia","12/1/2017","5/31/2020"
"Marcus Vinicius Sato","","","Campinas","","Agronomia","12/1/2017","3/31/2020"
"José Hiroki Saito","","","Bragança Paulista","","Ciência da Computação","11/1/2017","10/31/2020"
"Alice de Sousa Cassetari","","","Piracicaba","","Agronomia","11/1/2017","11/30/2018"
"Marcelo Machado Leão","Demóstenes Ferreira da Silva Filho - Raquel Gonçalves","","Piracicaba","","Recursos Florestais e Engenharia Florestal","11/1/2017","10/31/2019"
"Guilherme Serpa Sestito","Danilo Barbosa Porto - Gustavo Nicolau Gonçalves - Lucas Lancellotti Sanches","","São Carlos","","Engenharia Elétrica","11/1/2017","7/31/2018"
"Roddy Elky Ramos Gonzáles","","","Campinas","","Física","11/1/2017","5/31/2020"
"Henrique de Souza Nery","Jose Carlos Correa Borges - Walter Campos Junior","Humberto Salgado Filho","São Paulo","","Medicina","11/1/2017","10/31/2020"
"Samuel Martins Barbosa Neto","Bruno de Almeida Silveira - Pedro Henrique de Oliveira Sugimoto","Lucas Fonseca Navarro","São Paulo","","Ciência da Computação","11/1/2017","4/30/2018"
"William Marcos Muniz Menezes","Hudson Alberto Bode - Rita de Cássia Mendonça Sales Contini","","São José dos Campos","","","11/1/2017","9/30/2018"
"Hilda Alicia Gomez","Giuliano Leite de Vitor","","São Paulo","","Engenharia Elétrica","11/1/2017","7/31/2018"
"Reginaldo Francisco","","","São José do Rio Preto","","Ciência da Computação","11/1/2017","7/31/2018"
"Daniel Moutin Segoria","","","São Carlos","","Engenharia Aeroespacial","11/1/2017","10/31/2019"
"Alexandre Lourenço Soares","","","São Carlos","","Física","11/1/2017","4/30/2020"
"Henrique Cunha Pazelli","","","São Carlos","","Engenharia Mecânica","11/1/2017","10/31/2019"
"Antonio Claret Pereira de Oliveira","","Thayse Tieri Nonaka","São Paulo","","Ciência da Computação","11/1/2017","7/31/2018"
"Paulo Gurgel Pinheiro","","","Campinas","","Engenharia Elétrica","11/1/2017","10/31/2019"
"Pedro Matsumura Kayatt","Romero Tori","","São Paulo","","","11/1/2017","10/31/2019"
"Guinea Brasil Camargo Cardoso","Cecilia Amelia de Carvalho Zavaglia - Marcelo Rodrigues da Cunha - Mariana Motisuke","Danilo Siqueira Pino, Francisco José de Nadai Dias, Stella Aparecida de Andrade Pinto","Brotas","","Engenharia Biomédica","11/1/2017","7/31/2018"
"Simone Cristina Picchi","Alessandra Alves de Souza - Helvecio Della Coletta Filho - Marco Aurélio Takita - Marcos Antonio Machado","","Araras","","Agronomia","11/1/2017","10/31/2019"
"Renan Ferrari Bangoim","Caezilia Loibl - Fernando Abe Ohara - Gustavo Toshio Yasunaka","","São Paulo","","Ciência da Computação","11/1/2017","7/31/2018"
"Arnaldo Mauricio Correa Neto","","","Botucatu","","Zootecnia","11/1/2017","10/31/2019"
"Debora Colombi","","","Botucatu","","Microbiologia","11/1/2017","10/31/2019"
"Gustavo Ribeiro Alves","","","São Paulo","","Engenharia Aeroespacial","11/1/2017","10/31/2020"
"Mário Lôbo de Souza Neto","Luiz Fernando Bittencourt","Leandro Aparecido Villas","Campinas","","Ciência da Computação","11/1/2017","1/31/2020"
"Denise Tieme Okumura","","","São Carlos","","Ecologia","11/1/2017","7/31/2018"
"Eduardo Moré de Mattos","","Marina Shinkai Gentil Otto, Rodrigo Eiji Hakamada","Piracicaba","","Recursos Florestais e Engenharia Florestal","11/1/2017","10/31/2018"
"Miguel Frederico Fernandez Alarcon","Oliveiro Caetano de Freitas Neto","André Marcos Santana","Jaboticabal","","Recursos Pesqueiros e Engenharia de Pesca","11/1/2017","7/31/2018"
"Lucila Wadt","","","Araras","","Zoologia","11/1/2017","10/31/2019"
"Danielle Fernandes da Silva","Alessandra Alves de Souza - Ana Maria Soares Pereira - Carlos Henrique Gomes Martins - Edieidia Souza Pina - João Batista Fernandes - Marcos Antonio Machado - Moacir Rossi Forim - Rose Maria Carlos - Vânia Gomes Zuin Zeidler","","Franca","","Química","10/1/2017","9/30/2018"
"Elias Paulo Tessaro","","","Campinas","","Farmácia","10/1/2017","9/30/2019"
"Robson Cristiano Martins","","","Campinas","","Engenharia Química","10/1/2017","3/31/2018"
"Matheus Martinez Faccioli","","Aline Rocha Borges, Jeanne Blanco de Molfetta, Luis Felipe Buso Bortolotto, Matheus Martinez Faccioli","São Paulo","","Medicina Veterinária","10/1/2017","9/30/2019"
"Diógenes dos Santos Dias","Caio Gomide Otoni - Clovis Augusto Ribeiro - Luiz Henrique Capparelli Mattoso","","Araraquara","","Engenharia de Materiais e Metalúrgica","10/1/2017","6/30/2018"
"Roberto da Silva Ruy","Antonio Maria Garcia Tommaselli","Thiago Tiedtke dos Reis","Assis","","Geociências","10/1/2017","9/30/2019"
"Carlos Eduardo Podesta","","","São Bernardo do Campo","","Engenharia de Materiais e Metalúrgica","10/1/2017","9/30/2019"
"Jose Ricardo de Oliveira Damico","Danielle Cristina Rosa","Renato Ferraz Cardoso Francisco","Santana de Parnaíba","","Ciência da Computação","10/1/2017","6/30/2018"
"Guilherme Daniel Avansi","","","Campinas","","Engenharia Mecânica","10/1/2017","3/31/2020"
"Eduardo Agnolon Doria","","","São Carlos","","Medicina","10/1/2017","5/31/2018"
"Juan Harold Sosa Arnao","Carolina Lopez Castrillon - Edgar Fernando Cortes Rodriguez","Delia Rita Tapia Blácido, Leonardo Paes Rangel, Reynaldo Palacios Bereche, Silvia Azucena Nebra de Pérez, Song Won Park","Ribeirão Preto","","Engenharia Mecânica","10/1/2017","8/31/2018"
"Karla de Melo Lima","Rafael Fernandes Godinho","","Campinas","","Ciência e Tecnologia de Alimentos","10/1/2017","6/30/2018"
"Glaydson Luiz Bertoze Lima","IJAR MILAGRE DA FONSECA","Osamu Saotome","São José dos Campos","","Ciência da Computação","10/1/2017","5/31/2018"
"Talita Dias da Silva","","","São Paulo","","Ciência da Computação","10/1/2017","6/30/2018"
"Alexandre Moron Bernardoni","","","São Paulo","","Ciência da Computação","10/1/2017","3/31/2020"
"Eclison Dutra Nepunuceno","","","Holambra","","Agronomia","10/1/2017","6/30/2018"
"Danilo Mori Palomo","Antônio Augusto Chaves","","São José dos Campos","","Administração","9/1/2017","3/31/2019"
"Pascual Jovino Figueroa Rivero","Pablo Alejandro Fonseca Arroyo","","Campinas","","Ciência da Computação","9/1/2017","8/31/2018"
"Rafael Leandro de Figueiredo Vasconcellos","Dalton Vinicio Dorighello - Rafael Leandro de Figueiredo Vasconcellos - Wagner Clayton Correa","","São Paulo","","Microbiologia","9/1/2017","7/31/2018"
"Claudio Bicudo Mendonça","Wilson Cabral de Sousa Junior","Renata de Souza Leão Martins","São Paulo","","Engenharia Sanitária","9/1/2017","7/31/2018"
"Clever Ricardo Chinaglia","Edgar Dutra Zanotto","","São Carlos","","Engenharia de Materiais e Metalúrgica","9/1/2017","7/31/2018"
"Paulo Tadeu Matheus de Camargo","Alexandre Alvaro - Fernando Hiroshi Endo - Izilda das Eiras Tamega - Luiz Fernando Vieira","","Sorocaba","","","9/1/2017","8/31/2019"
"Marcio Makiyama Mello","","","São Carlos","","Engenharia Elétrica","9/1/2017","8/31/2018"
"Rubens da Costa Santos","Denilson Sell","Alessandra Duarte Batista, Viviane Schneider","São Paulo","","","9/1/2017","5/31/2018"
"Cesar Celeste Ghizoni","","","São José dos Campos","","Engenharia Aeroespacial","9/1/2017","2/28/2019"
"Stefano Guimarães Velludo","Alexsander Robles Garcia - Bruno Ferreira da Silva","","Ribeirão Preto","","Engenharia Elétrica","9/1/2017","2/28/2018"
"Paolo Bartolini","João Ezequiel de Oliveira - Miriam Fussae Suzuki - Renata Damiani","Fabiana Medeiros da Silva","São Paulo","","Bioquímica","9/1/2017","8/31/2019"
"Paulo Scarpelini Neto","Carlos Roberto Valêncio","Guilherme Priólli Daniel","São José do Rio Preto","","Ciência da Computação","9/1/2017","8/31/2019"
"Carlos Augusto Ribeiro","","","Dumont","","Engenharia Elétrica","9/1/2017","8/31/2019"
"Ana Lúcia Frony de Macêdo","","","São Paulo","","","8/1/2017","10/31/2019"
"José Pacheco de Almeida Prado","Maria Cláudia Brito","","São Carlos","","","8/1/2017","7/31/2018"
"Juliana Santos Nakayama","José Gregório Cabrera Gomez","","São Caetano do Sul","","Microbiologia","8/1/2017","11/30/2019"
"Matheus Barros Manini","","Giovanni Augusto de Santana Schimidt","São Paulo","","Engenharia Elétrica","8/1/2017","6/30/2018"
"Marcus de Simoni Craveiro","","Glauber Edurado Sapia","Capivari","","Engenharia Elétrica","8/1/2017","3/31/2020"
"Henrique Lemos de Faria","","Arthur Roza Augusto, Rodrigo Basile Junqueira, Saint Clair Henrique Nunes","São José dos Campos","","Engenharia Aeroespacial","8/1/2017","4/30/2018"
"Jeferson Preti","Carlos Alberto Canesin","","Sorocaba","","","8/1/2017","7/31/2019"
"Paulo Henrique Rocha Latado","","Augusto Tulmann Neto","Rio Claro","","Agronomia","8/1/2017","8/31/2018"
"Raquel Andrade de Rossi","Ricardo Luvizotto Santos","","São Paulo","","Microbiologia","8/1/2017","4/30/2018"
"João Paulo da Silva Scaramal","Igor Dias Jurberg","Fernando Campos Costa Rodrigues de Paula","Campinas","","Química","8/1/2017","4/30/2018"
"Alex Humberto Calori","José Rodrigues Magalhães Filho - Luis Felipe Villani Purquerio","Thiago Leandro Factor","Mococa","","Agronomia","8/1/2017","6/30/2018"
"Gustavo Gorenstein","Anderson Clayton Alves Nascimento - Bernardo Machado David","","São Paulo","","Ciência da Computação","8/1/2017","7/31/2019"
"Cauré Barbosa Portugal","André Ricardo Alcarde - Felipe Pompeo de Camargo Jannuzzi - Fernando Dini Andreote - Luís Henrique Poleto Angeloni - Luiz Lehmann Coutinho","","Piracicaba","","Microbiologia","8/1/2017","6/30/2018"
"Thais Guaratini","","","Ribeirão Preto","","Farmácia","8/1/2017","10/31/2019"
"Edson Matsumoto","","","Limeira","","Arquitetura e Urbanismo","8/1/2017","7/31/2019"
"Marcel Tolentino Pinheiro de Oliveira","Gabriel Klabin - Paulo Tadeu Matheus de Camargo","Bruno Carlos da Costa Teixeira, Maria Victoria Alonsoperez","São Paulo","","","8/1/2017","4/30/2018"
"Haroldo Ferreira de Araújo","","","Campinas","","Engenharia Agrícola","8/1/2017","7/31/2019"
"Daniela Sicci Del Lama","Hernane da Silva Barud - Luis Alexandre Pedro de Freitas","","Serrana","","Farmácia","8/1/2017","6/30/2018"
"Douglas Malvar Ribas","Denis Yuji Shimizu - Hugo Almeida Sampaio - Silvio Luiz dos Santos Custódio","","São Paulo","","Engenharia Elétrica","8/1/2017","11/30/2019"
"Nathalia Camilla da Silva","Alan Demétrius Baria Valejo - Alneu de Andrade Lopes - Didier Augusto Vega Oliveros - Fabrício César Bastos - Lilian Berton - Newton Spolaôr - Thiago de Paulo Faleiros","Jorge Carlos Valverde Rebaza","São Carlos","","Ciência da Computação","8/1/2017","4/30/2018"
"Marcelo Poletti","Eliane Grisoto - Everaldo Batista Alves - Marina Ferraz de Camargo Barbosa - Rebeca Ribeiro Boccato - Tarcísio Visintin da Silva Galdino","","Engenheiro Coelho","","Agronomia","8/1/2017","7/31/2020"
"Marcelo Aranda da Silva Coutinho","","","Piracicaba","","Zootecnia","8/1/2017","8/31/2018"
"Antonio Roberto Pereira Leite de Albuquerque","","","São Paulo","","","8/1/2017","4/30/2018"
"Bruno Jensen Virginio da Silva","Breno Junio Virginio da Silva","Denise Sato Yamashita","São Carlos","","Engenharia de Produção","8/1/2017","12/31/2019"
"Jancarlo Ferreira Gomes","","","Vinhedo","","Saúde Coletiva","8/1/2017","7/31/2019"
"Marcio Hiroyuki Kurogi","","Anderson Maiello","São Carlos","","Engenharia Mecânica","8/1/2017","4/30/2018"
"Marco Antonio Alves de Souza","André Orlandi de Oliveira - Filippo Ghiglieno - Jarbas Caiado de Castro Neto - José Matheus Sanches - Luciana de Matos - Lucimara Cristina Nakata Scaduto","Fatima Maria Mitsue Yasuoka, Guilherme Minoru Taniguti, Luis Gustavo Sabino","São Carlos","","","8/1/2017","8/31/2018"
"Antonio Valerio Netto","Romero Tori","","São Paulo","","","8/1/2017","7/31/2018"
"Claudia Bartoli Pelizaro","","","São Carlos","","Física","8/1/2017","10/31/2019"
"Vitor Della Déa Tavernari","","","Araçariguama","","","8/1/2017","4/30/2018"
"Angela Pedroso Tonon","","","Barretos","","Biologia Geral","8/1/2017","4/30/2018"
"Flavio Barbosa","Fabio Carmona - Marco Andrey Cipriani Frade","","Ribeirão Preto","","Engenharia Biomédica","8/1/2017","3/31/2020"
"Eduardo Henrique Tozetto","Jacobus Willibrordus Swart","Denis Sousa Martins","Campinas","","Engenharia Elétrica","8/1/2017","5/31/2018"
"Rodolfo Cesar Augusto","Eduardo Tavares Costa - Gustavo Ferreira Cardoso de Sá - Ricardo Fialho Colares","Rafael Marinho Farias, Yang Yun Ju","Campinas","","Ciência da Computação","8/1/2017","4/30/2018"
"Marc Peter Maserati Jr","Luciana Relly","","Mogi Mirim","","Medicina Veterinária","8/1/2017","4/30/2018"
"Alexandre Muniz Neves","Luiz Carlos Sandoval Góes","Rafael Macul Perez","São José dos Campos","","Engenharia Aeroespacial","8/1/2017","7/31/2019"
"Patrícia Aparecida Santiago","","","São Paulo","","Engenharia Mecânica","8/1/2017","4/30/2018"
"João Contart Neto","","","Santana de Parnaíba","","Ciência da Computação","8/1/2017","4/30/2018"
"Diego Pedreira de Oliveira","Luis Felipe Sverzut Baroni","","São Carlos","","Engenharia de Materiais e Metalúrgica","7/1/2017","8/31/2018"
"Rafael Netto Moreira Garcia","","","Leme","","Microbiologia","7/1/2017","12/31/2019"
"Adimara Bentivoglio Colturato","","","São Carlos","","Engenharia Agrícola","7/1/2017","6/30/2019"
"Philipe dos Santos","Julian Martínez - Juliane Viganó","","Campinas","","Farmácia","7/1/2017","3/31/2018"
"Braulio Garcia Pereira Neto","Aline Peregrina Puga - Cristiano Alberto de Andrade - Nilce Ortiz","","São Paulo","","Engenharia Agrícola","7/1/2017","3/31/2018"
"Flavio Shigeo Yamamoto","Eric ROHMER","Claudio Rodrigo Torres, Clóvis Kiyohide Hanashiro","São Paulo","","Ciência da Computação","7/1/2017","3/31/2018"
"Marcio Henrique Zaim","","","Santana de Parnaíba","","Medicina","7/1/2017","6/30/2019"
"Maria Cristiane Bartasson","","","Campinas","","Ciência e Tecnologia de Alimentos","7/1/2017","1/31/2021"
"Jorge Augusto de Bonfim Gripp","","Enivaldo Amaral de Souza","São José dos Campos","","Engenharia Mecânica","7/1/2017","3/31/2018"
"Ricardo Murville Camps","Ernesto Sasaki Imakuma - Guilherme Agustin Louzada Pereda - Leandro Ryuchi Iuamoto","","São Paulo","","Medicina","7/1/2017","6/30/2019"
"John Edward Esquiagola Aranda","Arthur Sequeira Aikawa","","São Paulo","","Engenharia Elétrica","7/1/2017","3/31/2018"
"Cristiane Maria Tibola","","","Piracicaba","","Agronomia","7/1/2017","10/31/2019"
"Conrado Leite de Vitor","","","São Paulo","","Engenharia Elétrica","7/1/2017","11/30/2019"
"Diego Roberto Dias da Cruz","","","Sumaré","","Engenharia Mecânica","7/1/2017","6/30/2019"
"Claudio Oliveira Egalon","","","São José dos Campos","","","7/1/2017","12/31/2019"
"Alfredo Marcial Montes Nino","","Rosario Eva Montes Nio, Sarita Priscila Gobbo Ferrari","São Paulo","","Medicina Veterinária","6/1/2017","2/28/2018"
"Gilca Palma Fernandes","","","São Paulo","","Geociências","6/1/2017","12/31/2019"
"Guilherme Augusto Duarte","","Alexandre Santos Pimenta, Rafael de Carvalho Morales","São Paulo","","Engenharia Química","6/1/2017","5/31/2019"
"Tatiana Mahalem Do Amaral","Luiz Carlos Estraviz Rodriguez","André Gracioso Peres da Silva, Caio Hamamura, Silvana Ribeiro Nobre","Piracicaba","","Recursos Florestais e Engenharia Florestal","6/1/2017","5/31/2019"
"Sheila Siqueira Andrade","Manoel João Batista Castello Girão","","Piracicaba","","Biologia Geral","6/1/2017","2/28/2018"
"Alexandre Martinewski","","","Ribeirão Preto","","Engenharia Biomédica","6/1/2017","4/30/2018"
"Juliana Cristina de Resende","","","São Carlos","","","6/1/2017","5/31/2018"
"Tiago de Lima","","","Piracicaba","","Engenharia Elétrica","6/1/2017","5/31/2019"
"Mario Yacoara de Menezes Neto","Lizandra Alexa de Carvalho","Ari Gitz, Fabio Silber Schmidt, Fernanda de Oliveira","São Paulo","","Saúde Coletiva","6/1/2017","12/31/2019"
"Polyana Cristine Tizioto","Fernando Dini Andreote - Horacio Montenegro - José Fernando Machado Menten - Luiz Lehmann Coutinho - Mario Lucio Lopes","","Piracicaba","","Zootecnia","6/1/2017","2/28/2018"
"Daniel Rodrigues","Daniel Juan Pagano - Marcos Flavio de Campos - Rodrigo Botan","José Maria Mascheroni, Murilo Alexandre Fendrich","Cajamar","","Engenharia Mecânica","6/1/2017","12/31/2020"
"Gilberto Morgado Zuzarte","","","Vinhedo","","Engenharia Mecânica","6/1/2017","7/31/2019"
"Paulo Augusto de Toledo Pacheco","","","São Paulo","","Engenharia Mecânica","6/1/2017","10/31/2019"
"Rafael Frascino Cassaro","Giovani Leone Zabot - Maria Angela de Almeida Meireles Petenate","","São Paulo","","Ciência e Tecnologia de Alimentos","6/1/2017","5/31/2019"
"Tiago de Góes Conti","","","São Carlos","","Engenharia de Materiais e Metalúrgica","6/1/2017","5/31/2019"
"Bruno Bocchi","","","São Paulo","","Engenharia Mecânica","6/1/2017","11/30/2017"
"Sergio Luiz Dulcini","","","São Carlos","","Engenharia de Materiais e Metalúrgica","6/1/2017","2/28/2018"
"José Carlos de Jesus Bertacini","","","São Carlos","","Engenharia Mecânica","6/1/2017","2/28/2018"
"Sandra Regina Magro","","","Piracicaba","","Agronomia","6/1/2017","5/31/2019"
"José Antonio Bressiani","","","Campinas","","Genética","6/1/2017","5/31/2019"
"Helio Ikedo","","","São José dos Campos","","Engenharia Aeroespacial","6/1/2017","3/31/2020"
"Marina Trevelin Souza","Edgar Dutra Zanotto","","São Carlos","","Engenharia de Materiais e Metalúrgica","6/1/2017","5/31/2019"
"Luiz Maria Guimarães Esmanhoto","","","São Paulo","","Ciência da Computação","6/1/2017","12/31/2017"
"Bruno Flávio Figueiredo Barbosa","","Pedro Luiz Martins Soares, Renato Zapparoli Corbani","Jaboticabal","","Agronomia","6/1/2017","6/30/2018"
"Jonny Francisco Ros de Almeida","Lígia Ferreira Gomes","Walter Maigon Pontuschka","São Paulo","","Biofísica","5/1/2017","4/30/2019"
"Angelica Fernandez Silva","","Alessandra Franco Novelli","Valinhos","","Farmácia","5/1/2017","3/31/2018"
"Alex Silva Paula","Jose Geraldo Nery","Adriano de Vasconcellos","São José do Rio Preto","","Engenharia Química","5/1/2017","1/31/2018"
"José Antonio Pio Cintra Filho","Alfredo Rocha de Faria","Lindolfo Araujo Moreira Filho","Jacareí","","Engenharia Mecânica","5/1/2017","5/31/2018"
"Dana Katia Meschede","Juliana Cristiani Molina","","Tarumã","","Agronomia","5/1/2017","1/31/2018"
"Adílson Walter Chinatto Júnior","","","Campinas","","Engenharia Elétrica","5/1/2017","10/31/2019"
"Bruno de Arruda Carillo","Igor Tadeu Lazzarotto Bresolin - José Gregório Cabrera Gomez - Margareth de Lara Capurro-Guimarães","","São Caetano do Sul","","Microbiologia","5/1/2017","10/31/2019"
"Tereza Cristina Peixoto","Samuel Thomazella Gazzola","","Pereiras","","Engenharia Agrícola","5/1/2017","1/31/2018"
"Silvana Colo Correa","","","Araraquara","","Física","5/1/2017","9/30/2019"
"Marcus Vinicius Pontes Lima","","","Campinas","","","5/1/2017","4/30/2018"
"Andréia Bagliotti Meneguin","Hernane da Silva Barud - Luis Alexandre Pedro de Freitas","","Ribeirão Preto","","Farmácia","5/1/2017","1/31/2018"
"Guilherme Picanço Rabello","César Augusto Camillo Teixeira - Didier Augusto Vega Oliveros - Erick Lazaro Melo","","São Carlos","","Ciência da Computação","5/1/2017","1/31/2018"
"Cynthia Bomfim Pestana","","","São Paulo","","Biologia Geral","5/1/2017","9/30/2019"
"Guilherme Jorge Gomes de Sousa","","","Taquaral","","Engenharia Elétrica","5/1/2017","10/31/2019"
"Diego Fiori de Carvalho","Alexandre Colello Bruno","Harley Francisco de Oliveira","Ribeirão Preto","","Medicina","5/1/2017","7/31/2019"
"Marcelo Victor Pires de Sousa","","","São Paulo","","","5/1/2017","4/30/2019"
"Fábio Plotegher","Cauê Ribeiro de Oliveira","","Pindorama","","Engenharia de Materiais e Metalúrgica","5/1/2017","1/31/2018"
"Gabriela de Oliveira Amâncio Balazini","Caroline Ribeiro de Borja Oliveira - Luiz Roberto de Oliveira Bento - Marcos Ribeiro Pereira Barretto - Mario Sergio Alvarez Fioretti - Rondinelli Donizetti Herculano - Rosa Yuka Sato Chubaci","André Augusto Torbitoni da Silva","São Paulo","","Medicina","5/1/2017","4/30/2019"
"Felipe Alonso Olmos","","André Ofenhejm Mascarenhas","São Paulo","","","4/1/2017","6/30/2019"
"Juliana Gomes Pirani","Isabel Cristina Italiano - Lourival Paulino da Silva","","São Paulo","","","4/1/2017","12/31/2017"
"Olga Zazuco Higa","Paolo Bartolini - Renata Damiani","Fabiana Medeiros da Silva","São Paulo","","Engenharia de Materiais e Metalúrgica","4/1/2017","6/30/2018"
"Carlos Eduardo Matos dos Santos","Tiago Franco de Oliveira","","São Paulo","","Farmácia","4/1/2017","3/31/2019"
"Hugo Cesar Pessotti","","","Ribeirão Preto","","Ciência da Computação","4/1/2017","12/31/2017"
"Luciana Alves Tacon","Daniel Júnior de Andrade - Luis Alexandre Pedro de Freitas - Ricardo Antonio Polanczyk","","Ribeirão Preto","","Agronomia","4/1/2017","3/31/2019"
"Vanessa Marquiafável Serrani","","","Araras","","","4/1/2017","8/31/2019"
"Rafael Mira de Oliveira Libardi","Stephan Reiff-Marganiec","Edgard Regolão Junior, Paul Chu Ngum","Ribeirão Preto","","Ciência da Computação","4/1/2017","12/31/2017"
"Benedito Carlos da Silva","","","São José dos Campos","","Engenharia Elétrica","4/1/2017","7/31/2019"
"Bruno Henrique Ramos de Lima","","","São Carlos","","Engenharia de Materiais e Metalúrgica","4/1/2017","3/31/2019"
