"Pesquisador_Responsável","Pesquisadores_Associados","Pesquisadores_Principais","Cidade","Instituições_no_Exterior","Área_do_Conhecimento","Data_de_Início","Data_de_Término"
"André Seiji Sandes Ianagui","Eduardo Aoun Tannuri","Carlos Eduardo Caparroz Duarte","São Paulo","","Engenharia Naval e Oceânica","8/1/2019","1/31/2021"
"Rodrigo Alves de Lima Moreto","Carlos Eduardo Thomaz - Salvador Pinillos Gimenez","","São Bernardo do Campo","","Engenharia Elétrica","8/1/2019","10/31/2020"
"Daniela Davi Madureira Iope","Carolina Eimi Kajiyama - Felipe de Souza Rossi - Letícia Candançan Corrêa","","São Paulo","","Engenharia Biomédica","7/1/2019","6/30/2021"
"Matheus Martinez Faccioli","Giovani Sampaio Gonçalves - Isabela Maria de Mello","Celio Lopes Silva, Matheus Martinez Faccioli","São Paulo","","Medicina Veterinária","7/1/2019","3/31/2020"
"Reginaldo Francisco","","","São José do Rio Preto","","Ciência da Computação","7/1/2019","2/28/2021"
"Diogo Gonçalves Biagi dos Santos","","","São Paulo","","Medicina","7/1/2019","3/31/2020"
"Sheila Siqueira Andrade","Manoel João Batista Castello Girão","","Piracicaba","","Biologia Geral","7/1/2019","6/30/2021"
"Jansen de Araujo","","","São Paulo","","Recursos Pesqueiros e Engenharia de Pesca","7/1/2019","9/30/2021"
"Vanderlei dos Santos","Débora Zumkeller Sabonaro - Ivonir Piotrowski Santos","Alexandre Marco da Silva, Fatima Conceição Márquez Piña-Rodrigues, José Mauro Santana da Silva, Marco Vinícius Chaud","Alumínio","","Recursos Florestais e Engenharia Florestal","7/1/2019","5/31/2020"
"Grazziani Resende Rodrigues da Costa Marques","Paulo Scarpelini Neto","","São José do Rio Preto","","Engenharia Elétrica","7/1/2019","6/30/2020"
"Alberto O' Farrill Vannini Pessina","Marco Antonio Alvares Balsalobre - Vitor Augusto Ozaki","Gislaine Vieira Duarte","Vinhedo","","Zootecnia","7/1/2019","7/31/2020"
"Rogério Augusto de Caldas Ayres Estácio","Ana Carolina de Sousa Silva - Fábio Rosa Sussel","","Pirassununga","","Zootecnia","7/1/2019","3/31/2020"
"Laudicéia Alves de Oliveira","Benedito Barraviera - Lucilene Delazari dos Santos - Rui Seabra Ferreira Junior","","Botucatu","","Medicina","7/1/2019","5/31/2020"
"Silvio Antonio Tonissi Júnior","André Orlandi de Oliveira - Fatima Maria Mitsue Yasuoka - Jarbas Caiado de Castro Neto","","São Carlos","","Engenharia de Produção","7/1/2019","6/30/2021"
"Thereza Cury Fortunato","Alessandra Tomal - Alexandre Brincalepe Campo - Hazem Adel Ashmawi - Marucia Chacur","","São Paulo","","Biofísica","7/1/2019","3/31/2020"
"Eduardo Cannizza","Humberto Naoyuki Yoshimura - João Pedro Valls Tosetti - Marcos Flavio de Campos - Suzilene Real Janasi","Laerte José Fernandes","Cajamar","","Engenharia Mecânica","7/1/2019","12/31/2021"
"Diego Bonaldo Genuário","Fábio Sérgio Paulino da Silva","Suikinai Nobre Santos","Jaguariúna","","Microbiologia","7/1/2019","8/31/2020"
"Willian Kopp","Maicon Vilabruna - Marcelo Perencin de Arruda Ribeiro - Raquel de Lima Camargo Giordano - Roberto de Campos Giordano","","São Carlos","","Engenharia Química","7/1/2019","6/30/2021"
"Marcos Felipe Pinatto Botelho","Alcindo Aparecido dos Santos - Alexandre Minami Fioroto","","São Paulo","","Medicina","7/1/2019","6/30/2020"
"Bruno Avena de Azevedo","Davi Ferreira de Castro - Leonardo Vieira Costa - Michelle Bueno Garcia","Victória Maria Gomes Velame","São José dos Campos","","Engenharia de Produção","7/1/2019","6/30/2021"
"Jan Carlo Morais Oliveira Bertassoni Delorenzi","","","São Paulo","","Parasitologia","7/1/2019","4/30/2020"
"Felipe André Cordeiro Pirotta","Fabio da Silva - João Paulo Pereira Silva - Jorge Miguel Carraro Gattaz Abdalla - Rhullian Marcos de Siqueira Damião","","Hortolândia","","Ciência da Computação","7/1/2019","6/30/2021"
"Leila Maria Lopes Bezerra","Andrea Regina de Souza Baptista - Gil Benard - José Angelo Lauletta Lindoso","Carlos Pelleschi Taborda","São Paulo","","Microbiologia","7/1/2019","6/30/2020"
"Ana Catalan","","","Itatiba","","Botânica","7/1/2019","6/30/2020"
"Fagner Christian Paes","","Willian Massami Watanabe","Marília","","Ciência da Computação","7/1/2019","6/30/2020"
"Rogerio Ulbrich","","","Campinas","","Medicina","7/1/2019","8/31/2021"
"Enivaldo Amaral de Souza","","","São José dos Campos","","Engenharia Mecânica","7/1/2019","8/31/2021"
"Matheus Castro Cardoso","Rodrigo Mindlin Loeb","Bruno Luiz da Silva, Denilson Shikako, Ítalo Verni Dias, Paulo Henrique Chaves dos Santos, Silvia Amanda Melo de Carvalho","São Paulo","","Arquitetura e Urbanismo","7/1/2019","6/30/2020"
"Sergio de Andrade Coutinho Filho","Bruno Valverde - Diego Teruo Mendes de Souza","","Indaiatuba","","Engenharia Elétrica","7/1/2019","6/30/2021"
"Marcos Makoto Ikegame","Douglas Aparecido dos Santos","","Campinas","","Ciência da Computação","7/1/2019","6/30/2020"
"Nicholas Roberto Drabowski","","","São Paulo","","Ciência da Computação","7/1/2019","6/30/2021"
"Vanessa Leiria Campo","Marcelo Dias Baruffi - Marcelo Fiori Marchiori","","Ribeirão Preto","","Farmácia","6/1/2019","2/29/2020"
"Ricardo Luiz Ciuccio","Maurício David Martins das Neves - Nelis Evangelista Luiz","","Guarulhos","","Engenharia de Produção","6/1/2019","2/29/2020"
"Thiago Pinotti Segato","Ana Maria Moro - André Nogueira Castro de Barros - Emanuel Carrilho - Jeanne Blanco de Molfetta - Letícia Barboza Rocha - RODRIGO LEMOS LOVATO - Roxane Maria Fontes Piazza","Beatriz Cutilak Bianchi, Regiane de Fátima Travensolo","São Carlos","","Química","6/1/2019","11/30/2021"
"Marcílio José Caetano","Muriel Fabricio dos Santos","Diener Volpin Ribeiro Fontoura","Campinas","","Engenharia Agrícola","6/1/2019","2/28/2022"
"Ari Gitz","Adalton Raga - Fernando Berton Baldo","Fabio Silber Schmidt, Fernanda de Oliveira, Lizandra Alexa de Carvalho","São Paulo","","Agronomia","6/1/2019","4/30/2020"
"Sidnei Nicoli","Romulo Gonçalves Lins","","São Paulo","","","6/1/2019","2/29/2020"
"Alan Trindade Branco","Flávio de Oliveira Francisco","","São Paulo","","Genética","6/1/2019","6/30/2020"
"Tiago Medicci Serrano","","","Campinas","","Engenharia Elétrica","6/1/2019","5/31/2022"
"Juliana Gomes Pirani","Marcio Katsumi Oikawa","","São Paulo","","","6/1/2019","10/31/2020"
"Karlo Gusso Lenzi","","","São Paulo","","Ciência da Computação","6/1/2019","12/31/2021"
"Tais Hitomi Wakamatsu","José Alvaro Pereira Gomes - Ugo Ibusuki","","São Paulo","","Medicina","5/1/2019","10/31/2020"
"Bruno Bestle Turrin","","","São Paulo","","Engenharia Elétrica","5/1/2019","1/31/2020"
"Ramon Adrian Salinas Franco","","","São Carlos","","Engenharia Biomédica","5/1/2019","1/31/2020"
"Thiago Rodrigues de Castro","Inajá Marchizeli Wenzel Rodrigues","","Piracicaba","","Agronomia","5/1/2019","1/31/2020"
"Flávia Torreão Corrêa da Silva Thiemann","Andréia Nasser Figueiredo - Ariane Di Tullio","Mayla Willik Valenti Roese","São Carlos","","Educação","5/1/2019","8/31/2021"
"Cesar Celeste Ghizoni","","Daniel Moutin Segoria, Paulo Rogério Berto, Priscila França Guidini","São Carlos","","Física","5/1/2019","7/31/2023"
"Larissa Galante Elias","Cristiano Menezes - Filipe Jose Dal Bo de Andrade","Lucas Garcia von Zuben, Tatiana Magalhães, Túlio Marcos Nunes","Ribeirão Preto","","Ecologia","5/1/2019","1/31/2020"
"Minos Esperândio Carvalho","Adriele Giaretta Biase - Welder Angelo Baldassini","","Manaus","","Zootecnia","5/1/2019","2/29/2020"
"Samuel Matos da Costa","Douglas Martins Araujo - Nadia Moreira Goncalves","","São Paulo","","Engenharia Biomédica","5/1/2019","6/30/2021"
"Juliano Carvalho Sansão","Paulo Vitor Batista Hamacek","","São José dos Campos","","Engenharia Elétrica","5/1/2019","4/30/2020"
"Alan Caio Rodrigues Marques","","","Manaus","","Zootecnia","5/1/2019","3/31/2020"
"Hugo Cesar Pessotti","","Juliana Tarossi Pollettini","Ribeirão Preto","","Ciência da Computação","5/1/2019","8/31/2022"
"Juliano Cherix","Luiz Felipe Arjonilla de Mattos - Reinaldo Gaspar Bastos - Thatiane Teixeira Mendonça","Luiz Carlos Andreatto Junior","Campinas","","Microbiologia","5/1/2019","1/31/2020"
"Ari Nelson Rodrigues Costa","Antonio Carlos Dantas Cabral - Daniel de Oliveira Mota - Flavio D Angelo Pereira da Silva","André Ribeiro Coutinho","São Paulo","","Engenharia de Produção","5/1/2019","1/31/2020"
"Ana Lúcia Ferrarezi Duarte","","","São José do Rio Preto","","Ciência e Tecnologia de Alimentos","5/1/2019","1/31/2020"
"André Menezes Oliveira","Carlos Stein Naves de Brito - Glauber de Bona - Leliane Nunes de Barros - Marcelo Finger","Felipe Maia Bezerra, Leandro Farias Nogueira, Rodrigo Amorim Ruiz","São Paulo","","Ciência da Computação","5/1/2019","12/31/2020"
"Regina Bernardina Johanna Hakvoort","Júlio César Pereira - Onofre Trindade Junior","","Piracicaba","","Agronomia","5/1/2019","1/31/2020"
"Jaksan Moreira Junior","Miguel Ángel Aires Borrás","Cleyton Fernandes Ferrarini","Sorocaba","","Engenharia de Produção","4/1/2019","12/31/2019"
"André César Martins Cavalheiro","Tarcísio Fernandes Leão","","São Vicente","","Engenharia Biomédica","4/1/2019","12/31/2019"
"Paulo Rogério Berto","","Anderson Rodrigo dos Santos, Daniel Moutin Segoria, FABIANO SIMAO DOS SANTOS, Hernande Carlos Bueno Previato, Priscila França Guidini","São Carlos","","Engenharia Aeroespacial","4/1/2019","3/31/2021"
"Wilian França Costa","Antonio Mauro Saraiva - Betina Blochtein - Bruno de Carvalho Albertini - Celso Barbiéri Júnior - Charles Fernando dos Santos - Kayna Agostini - Murillo Fernando de Souza Jesus - Patrícia Nunes Silva","","Sorocaba","","","4/1/2019","12/31/2019"
"Flavio Shigeo Yamamoto","Eric ROHMER","Bruno Abdelnur Camargo Pereira da Costa, Ignasi Andrés Franch","São Paulo","","Ciência da Computação","4/1/2019","3/31/2021"
"Yuri Kendji Matsumoto","Camilo Rodrigues Neto - Gabriel de Souza Pereira Moreira - Maria Cristina Foss de Freitas - Rafael Ferraz Bannitz - Rebeca Antunes Beraldo","","São Paulo","","Ciência da Computação","4/1/2019","3/31/2021"
"André May","Marcelo Augusto Boechat Morandi","","Paulínia","","Agronomia","4/1/2019","12/31/2019"
"Fernanda Rebel Moreira Alves","Alceu Afonso Jordão Junior - Andresa Aparecida Berretta e Silva - Franciane Marquele de Oliveira - Paula Garcia Chiarello","","Ribeirão Preto","","Ciência e Tecnologia de Alimentos","4/1/2019","3/31/2020"
"Fernando Dill Hinnah","","","Piracicaba","","Agronomia","4/1/2019","5/31/2020"
"Tamara Carolina Trevisan","","","Araraquara","","","4/1/2019","2/29/2020"
"Paula Porrelli Moreira da Silva","Angelo Pedro Jacomino - Marta Helena Fillet Spoto","","Paraibuna","","Ciência e Tecnologia de Alimentos","4/1/2019","12/31/2019"
"Juliano Passaretti Filho","Arnaldo Alves Cardoso","","Araraquara","","Química","4/1/2019","12/31/2019"
"Jose Antonio Polizel","","","Araraquara","","Engenharia Agrícola","4/1/2019","12/31/2019"
"Ticyana Carone Banzato","André Fróes de Borja Reis - José Otávio Machado Menten - Luis Eduardo Aranha Camargo - Sônia Maria De Stefano Piedade","","Piracicaba","","Agronomia","4/1/2019","12/31/2019"
"Nilton Soares Camilo","","","Valinhos","","Química","4/1/2019","12/31/2019"
"Yury Catalani Nepomuceno Duarte","Felipe Gustavo Pilau - José Paulo Molin - Rafael Otto","","Rio das Pedras","","Agronomia","4/1/2019","5/31/2020"
"Eduardo Saito","","","São José dos Campos","","Engenharia de Materiais e Metalúrgica","3/1/2019","2/29/2020"
"Roberta Gabinio Ciccone","","","São Paulo","","Ciência da Computação","3/1/2019","3/31/2020"
"Matheus Bomfim de Carvalho Rocha","Rodrigo Cardoso Cavalcante","","São Paulo","","Probabilidade e Estatística","3/1/2019","11/30/2019"
"Gabriel Romero Liguori","","","São Paulo","","Biologia Geral","3/1/2019","11/30/2019"
"Alexandre Martinewski","","","Ribeirão Preto","","Engenharia Biomédica","3/1/2019","2/28/2021"
"Celso de Souza Corsino","Mozart Fraga Martins","","São José dos Campos","","Engenharia Elétrica","3/1/2019","11/30/2019"
"Rita Maria Borges de Moraes","","Miriam Verginia Lourenço","Ribeirão Preto","","Agronomia","3/1/2019","12/31/2019"
"Felipe Ruggeri","Eduardo Aoun Tannuri - Guilherme Feitosa Rosetti - Rodrigo Sauri Lavieri","Rafael de Andrade Watai","São Paulo","","Engenharia Naval e Oceânica","3/1/2019","10/31/2020"
"Gleidson Silva Teixeira","Gabriel Galembeck - Osmar Vaz de Carvalho Netto","","Campinas","","Genética","3/1/2019","11/30/2019"
"Ana Luiza Scarano Aguillera Forte","Maria José Vieira Fonseca","","Ribeirão Preto","","Farmácia","3/1/2019","4/30/2021"
"Omar Cipriano Usuriaga Najera","","","São José dos Campos","","Física","3/1/2019","11/30/2019"
"Antonio Claret Pereira de Oliveira","Takahiro Okita","Thayse Tieri Nonaka","São Paulo","","Ciência da Computação","3/1/2019","8/31/2020"
"Eimi Arikawa","Luiz Carlos Estraviz Rodriguez","Thaís Hudari Abib, Tiago de Conto","Piracicaba","","Recursos Florestais e Engenharia Florestal","3/1/2019","11/30/2019"
"Marcus Vinicius Pontes Lima","Cesar Luiz Lacerda Abicalaffe - Victor Cesar de Souza","","Campinas","","","3/1/2019","1/31/2020"
"Daniel Blasioli Dentillo","Regina Célia Moreira","Dante Gavio","Ribeirão Preto","National Research Council Canada (NRC)","Saúde Coletiva","3/1/2019","8/31/2022"
"Maria Beatriz Calderan Rodrigues Bonassi","","","Piracicaba","","","3/1/2019","11/30/2019"
